Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-177.81923	121.63908	103.08833	-524.69916	116.27907	-0.14015056	0.04889569	-0.039464876	-0.34487763	5000	7.8868865e-08	11140.038	-0.011260492	-2019.7334	1.3834376	0.009709769	0.0662	79.0	4.730769395828247
1	-154.57274	98.770546	63.942226	-410.19843	90.62963	-13.759829	3.4495223	-6.4487295	-38.448975	10000	-5.722046e-10	7866.579	-0.015519662	-4870.05	1.3671045	0.009191935	0.0856	79.0	8.610298871994019
2	-130.92488	65.85243	11.770588	-346.9234	91.46296	-75.55647	12.876199	-38.52166	-208.8002	15000	-1.6272068e-08	1538.9333	-0.015043156	-71.168945	1.3674939	0.014006321	0.1072	79.0	12.416731834411621
3	-115.74106	75.59412	70.46086	-407.60095	116.833336	-70.135284	11.988012	-25.857244	-147.5149	20000	6.9141386e-09	2743.6934	-0.018407822	-611.0325	1.3594601	0.009445092	0.1072	79.0	17.05564856529236
4	-94.39193	40.04347	35.467804	-215.21518	102.458336	-58.453106	5.630296	-28.015123	-92.582985	25000	1.27792354e-08	979.522	-0.013062665	-197.27142	1.3481231	0.015135937	0.2332	29.0	20.616738080978394
5	-82.04556	39.71765	-4.051203	-199.94931	112.09091	-48.647232	8.016879	-28.385864	-143.69252	30000	-9.059906e-10	825.13696	-0.016229825	-113.615234	1.3299403	0.012850096	0.186	79.0	24.49113965034485
6	-62.93824	52.94572	27.596619	-235.83406	132.1892	-42.08969	8.643914	-21.705654	-116.10679	35000	-1.3637543e-08	1210.7766	-0.019525109	-188.27081	1.2827823	0.0150824785	0.167	76.0	28.47773838043213
7	-38.114136	36.74821	20.31718	-144.24869	136.83333	-30.583185	7.9322963	-14.913962	-94.12347	40000	1.4591217e-08	881.6748	-0.016548734	-248.17145	1.2382096	0.015015267	0.1788	77.0	32.483492612838745
8	-28.40412	46.401543	53.535606	-137.39952	198.8	-27.971828	16.582556	-4.4167595	-102.316414	45000	-1.1444092e-08	1178.1748	-0.01425873	-217.6402	1.2083905	0.011071	0.1392	79.0	37.44509959220886
9	-28.17781	42.519173	36.16187	-97.45896	292.7647	-19.276003	14.033042	1.6532682	-84.9809	50000	1.2397766e-08	888.8255	-0.016941521	-101.7514	1.1854116	0.00894803	0.1004	79.0	43.2656192779541
10	-35.797783	55.010094	105.23472	-140.88431	355.5	-13.620634	10.783443	4.007673	-77.3459	55000	1.0681152e-08	1144.2968	-0.016171189	-131.79907	1.1478903	0.007271922	0.0808	79.0	49.193556785583496
11	-87.007996	61.3738	16.370506	-190.19102	404.33334	-11.776097	13.044349	5.4430017	-85.064285	60000	-1.7642975e-08	1188.0306	-0.013270647	-502.47784	1.1148441	0.006477797	0.1316	79.0	54.866618156433105
12	-95.975006	108.95077	48.628445	-260.255	823.0	-22.605875	22.329275	10.392801	-91.893425	65000	-2.861023e-09	925.2644	-0.016402433	-262.2787	1.1305139	0.009264329	0.1132	79.0	63.491820096969604
13	-39.956207	99.08388	89.95476	-202.0374	780.3333	-15.220784	17.69147	17.422125	-161.33327	70000	-1.3351441e-08	664.7177	-0.015802776	-94.33832	1.108017	0.008097073	0.096	79.0	70.80839490890503
14	-7.956627	61.400906	106.48106	-63.762558	933.6	-1.4181933	10.77779	19.925186	-49.505966	75000	-2.9563905e-09	362.9547	-0.013527165	-109.23808	1.078491	0.009142044	0.0894	79.0	80.46476078033447
15	-88.82088	27.451725	-48.455654	-133.60641	1000.0	1.8252739	2.7703009	10.755426	-7.6281805	80000	-1.0204316e-08	246.49008	-0.003569837	-137.16397	1.0547062	0.018911904	0.3638	5.0	89.52120208740234
16	27.295197	68.68878	88.34898	-65.775154	830.8	-13.26475	6.071731	-1.7886504	-63.760986	85000	-1.1968613e-08	569.7636	-0.005977412	-175.68085	1.0860128	0.015311344	0.1574	17.0	98.92852663993835
17	-68.0861	48.78946	0.344257	-141.92088	816.2	-2.5201175	12.18794	17.169846	-42.390884	90000	-5.722046e-10	417.7866	-0.015977342	-123.45795	1.0561835	0.011542396	0.154	79.0	107.02773952484131
